county,county_pcode,year,season_basis,yield_t_ha,rain_dekads_available,rain_total_jan_jun_mm,rain_lta_jan_jun_mm,rain_anomaly_pct,rain_mean_dekad_mm,rain_std_dekad_mm,rain_cv,wet_dekads_ge20mm,heavy_dekads_ge50mm,dry_dekads_lt10mm,longest_dry_spell_dekads,rain_onset_doy,county_lat,county_lon,maize_area_ha
Taita Taveta,KE006,2023,Seasonal aggregate,0.933063,18.0,301.292335,310.607723,-2.999084,16.738463,27.888596,1.666138,4.0,1.0,12.0,8.0,80.0,-3.405203,38.37176,10940.0
Tana River,KE004,2023,Seasonal aggregate,2.149442,18.0,278.545753,192.080568,45.015061,15.474764,23.373484,1.510426,4.0,1.0,13.0,7.0,80.0,-1.534918,39.550288,4441.0
Tharaka-Nithi,KE013,2023,Seasonal aggregate,0.646692,18.0,730.107141,547.091662,33.452434,40.561508,66.884203,1.648958,6.0,4.0,9.0,6.0,80.0,-0.191445,37.960417,27245.0
Trans Nzoia,KE026,2023,Seasonal aggregate,4.757859,18.0,642.746836,634.237966,1.341589,35.708158,31.537929,0.883214,10.0,7.0,7.0,6.0,70.0,1.045915,34.980778,105930.0
Turkana,KE023,2023,Seasonal aggregate,0.632812,18.0,212.632557,172.177661,23.496019,11.81292,19.662844,1.66452,4.0,1.0,14.0,7.0,70.0,3.162488,35.313492,3200.0
Uasin Gishu,KE027,2023,Seasonal aggregate,4.238787,18.0,632.405407,606.721928,4.233155,35.133634,37.729407,1.073883,10.0,6.0,6.0,6.0,70.0,0.478188,35.303799,106385.0
Vihiga,KE038,2023,Seasonal aggregate,0.67146,18.0,1198.578946,1006.033351,19.139087,66.587719,52.404637,0.787002,13.0,10.0,5.0,5.0,60.0,0.084857,34.707784,47817.0
Wajir,KE008,2023,Seasonal aggregate,0.3375,18.0,346.381827,193.53923,78.972411,19.243435,30.055597,1.561862,5.0,3.0,13.0,7.0,70.0,1.939715,40.024507,25.0
West Pokot,KE024,2023,Seasonal aggregate,1.621998,18.0,409.996602,443.09581,-7.469989,22.777589,27.928192,1.226126,9.0,2.0,8.0,7.0,70.0,1.893374,35.212768,51318.0
Baringo,KE030,2024,Seasonal aggregate,2.371842,18.0,645.683759,465.744538,38.634746,35.87132,38.11903,1.06266,9.0,4.0,4.0,3.0,81.0,0.726352,36.018591,41562.0
Bomet,KE036,2024,Seasonal aggregate,2.685691,18.0,1128.989476,842.724213,33.969033,62.721638,31.878118,0.508248,17.0,12.0,1.0,1.0,81.0,-0.716095,35.238459,27381.0
Bungoma,KE039,2024,Seasonal aggregate,2.678613,18.0,966.609994,854.742337,13.087881,53.700555,23.550428,0.438551,17.0,7.0,1.0,1.0,81.0,0.785694,34.718757,93337.0
Busia,KE040,2024,Seasonal aggregate,2.22954,18.0,1076.173069,900.425645,19.518261,59.787393,29.718978,0.497078,17.0,12.0,1.0,1.0,81.0,0.375707,34.265111,36308.0
Elgeyo-Marakwet,KE028,2024,Seasonal aggregate,3.84019,18.0,867.343434,657.566659,31.901979,48.185746,48.032233,0.996814,13.0,5.0,1.0,1.0,81.0,0.745102,35.560856,37969.0
Embu,KE014,2024,Seasonal aggregate,1.104323,18.0,892.186815,525.286081,69.847793,49.565934,67.017112,1.35208,9.0,5.0,6.0,3.0,81.0,-0.53283,37.664629,33047.0
Garissa,KE007,2024,Seasonal aggregate,0.929764,18.0,266.324397,240.279175,10.839567,14.7958,19.653951,1.328347,5.0,1.0,11.0,8.0,92.0,-0.52049,40.35559,127.0
Homa Bay,KE043,2024,Seasonal aggregate,1.550562,18.0,815.724766,734.102143,11.118701,45.318043,26.329411,0.580992,16.0,5.0,1.0,1.0,81.0,-0.562403,34.314532,75816.0
Isiolo,KE011,2024,Seasonal aggregate,0.845869,18.0,248.560243,173.962088,42.881846,13.808902,24.913831,1.804186,3.0,2.0,13.0,5.0,92.0,1.006385,38.747651,305.0
Kajiado,KE034,2024,Seasonal aggregate,1.657786,18.0,721.151692,373.466385,93.096814,40.063983,36.874459,0.920389,11.0,6.0,6.0,3.0,61.0,-2.112369,36.777606,13263.0
Kakamega,KE037,2024,Seasonal aggregate,1.735163,18.0,1127.010523,951.356143,18.463578,62.611696,22.898457,0.365722,17.0,13.0,1.0,1.0,81.0,0.49719,34.800929,82436.0
Kericho,KE035,2024,Seasonal aggregate,2.878228,18.0,990.26865,795.027352,24.557809,55.014925,30.034336,0.545931,17.0,10.0,1.0,1.0,81.0,-0.316683,35.225997,40541.0
