model,RMSE,MAE,R2
context_rf,0.7297480359023079,0.6053362013782367,0.2720163526206767
quantum_residual,0.8143099454023743,0.6184999927833292,0.09352624959112066
rainfall_ridge,0.8234811265959242,0.6188136402940729,0.07299291294432486
all_features_ridge,0.8904032510571458,0.6899129154709635,-0.08380020404369626
