,XGBoost,CatBoost,RandomForest,SVR_permutation
rain_lta_jan_jun_mm,0.18401268,45.200827035424524,0.4487358566939544,0.054552007018568764
county_Trans Nzoia,0.1614639,13.942951665036073,0.24503574455204802,0.21101655022610682
county_Uasin Gishu,0.12351782,7.428560735347485,0.12382958640553735,0.14104243953115034
county_Vihiga,0.09404536,6.723607696939845,0.11489952862348062,0.22440360670943602
year,0.018089017,3.213893763292859,0.017058940020475415,0.06850972581304515
county_Baringo,0.07271549,3.728927716059246,0.014674855046523926,0.20672949409149177
rain_std_dekad_mm,0.016966362,1.5870627819572862,0.007655073617667932,0.03519063408624561
rain_cv,0.020617967,1.306338956407109,0.004797576365477817,0.029865175801088748
county_Elgeyo-Marakwet,0.0,0.06706170004994076,0.003400284186787341,0.03818421359063944
dry_dekads_lt10mm,0.01292933,1.8098624772852396,0.0032919090919530584,0.03990901080337743
rain_total_jan_jun_mm,0.031060414,2.6973018196542786,0.0028519669266199904,0.03134384581572171
rain_mean_dekad_mm,0.10781581,2.387992445626232,0.002525721349368074,0.03134384512063663
rain_anomaly_pct,0.0212869,2.083874111599405,0.002034779656808253,0.03790616586690961
wet_dekads_ge20mm,0.039290197,2.1326575788966773,0.0019405123481752958,0.0527947601853255
heavy_dekads_ge50mm,0.020589413,1.7439002150542993,0.0019205021842548116,0.035907866775474945
rain_onset_doy,0.0058282474,0.9010964552416381,0.001517670253044792,0.040511786728217536
county_West Pokot,0.0,0.24294180759823453,0.0014668885628183442,0.11092173293149027
longest_dry_spell_dekads,0.032711435,1.4099650848831462,0.0014469308067203534,0.03166011858350757
county_Kericho,0.014410908,0.8898193766595317,0.0007150968622246854,0.06903161010653572
county_Bungoma,0.02264872,0.4161069907384699,0.00020057644605952948,0.033274151455631555
county_Nandi,0.0,0.007523034912668656,0.0,0.03287326672102769
county_Kakamega,0.0,0.07772655133583786,0.0,0.03297438625188593
